,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
908,122.652268,Private room,FALSE,TRUE,3,FALSE,0,0,8,87,1,2.390275144,0.1964760407,346.9633298,11.82506988,638.3345679,14.05170843,2.14683,41.37454
909,156.1663602,Private room,FALSE,TRUE,2,FALSE,0,0,9,88,1,1.807089725,0.2590129669,356.0370602,12.13431725,763.3676291,16.80407092,2.16078,41.37242
910,552.9825215,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,95,2,1.3967729,0.2092830937,379.213637,12.92421237,928.7057284,20.44367134,2.16107,41.37651
911,174.7853003,Private room,FALSE,TRUE,2,FALSE,1,0,10,92,1,3.969310641,0.5279368819,187.5487639,6.391964362,341.2377933,7.511694053,2.13643,41.36187
912,104.0333279,Private room,FALSE,TRUE,2,FALSE,1,0,8,83,1,1.701912698,0.3470062845,363.4922413,12.38840185,816.1196537,17.96530534,2.16648,41.37204
913,780.1335909,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,4,60,3,3.476244537,0.2597501003,260.2932078,8.871212337,428.8728603,9.440811591,2.129,41.382
914,150.5806782,Private room,FALSE,TRUE,2,FALSE,1,0,10,94,1,3.812749771,0.488992698,197.6289845,6.73551454,358.257463,7.886349364,2.13385,41.36622
915,113.5755347,Private room,FALSE,TRUE,2,FALSE,1,0,10,97,1,3.763915686,0.4679391391,218.4109066,7.443795964,379.0041481,8.343047754,2.12841,41.37419
916,335.6063956,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,97,2,3.833610662,0.2960627841,199.7525528,6.807889172,361.7893187,7.964096377,2.131,41.369
917,438.4760398,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,92,1,1.756937706,0.3675982373,357.5877532,12.18716737,820.2160022,18.05547857,2.16311,41.37219
918,358.647334,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,80,1,1.293631128,0.09755666335,436.2432286,14.86787283,1064.411776,23.43097911,2.16826,41.37556
919,358.647334,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,71,1,1.526685079,0.1435268981,391.6776935,13.34900751,901.0243763,19.83431959,2.16855,41.37343
920,780.1335909,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,8,80,3,3.476267946,0.2597667084,260.2955477,8.871292084,428.8696019,9.440739862,2.129,41.382
921,291.8518863,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,92,1,3.391919534,0.1995229605,229.5916653,7.824854251,438.2226775,9.646629843,2.13282,41.37494
922,266.2508437,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,3.969022926,0.4642421697,188.1202197,6.4114405,341.2581009,7.512141085,2.135,41.363
923,168.9668816,Private room,FALSE,TRUE,2,FALSE,1,0,10,93,1,1.95749406,0.4829376178,352.9520926,12.02917658,686.8604612,15.11991269,2.162,41.37057
924,347.0104964,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,2.477905724,0.258611476,339.1340904,11.55823678,591.1612778,13.01327913,2.14707,41.37301
925,243.2099053,Private room,FALSE,TRUE,3,FALSE,0,0,9,87,1,3.336125273,0.128805838,250.339317,8.531967687,451.3878576,9.936435974,2.13054,41.38275
926,138.9438406,Private room,FALSE,TRUE,2,FALSE,0,0,9,88,1,3.867359213,0.4105879179,195.9746864,6.679133391,355.0634874,7.816040131,2.13206,41.36723
927,173.6216166,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,1.804192828,0.2128311542,357.1434078,12.17202336,765.4714976,16.85038354,2.15973,41.37285
928,131.9617381,Private room,FALSE,TRUE,2,FALSE,0,0,9,88,1,3.687622354,0.4999400988,205.534845,7.004959016,375.4874284,8.265633932,2.13359,41.36841
929,104.0333279,Private room,FALSE,TRUE,2,FALSE,1,0,10,93,1,3.892696364,0.4138749715,206.4765542,7.037053983,360.8062938,7.942456973,2.12782,41.37232
930,161.984779,Private room,FALSE,TRUE,2,TRUE,1,0,10,100,3,3.608046554,0.2810733055,220.1413259,7.502771444,395.9359142,8.715768038,2.13061,41.37389
931,174.7853003,Private room,FALSE,TRUE,2,FALSE,1,0,9,88,1,3.137416994,0.284445747,249.5082732,8.503644373,435.6600325,9.590218139,2.14284,41.36765
932,161.984779,Private room,FALSE,TRUE,2,FALSE,0,0,9,97,1,1.484863831,0.2821184437,380.0973738,12.95433154,961.3077419,21.161342,2.16365,41.37465
933,187.3530849,Private room,FALSE,TRUE,4,FALSE,0,1,9,88,2,4.774339474,1.004426068,150.5010289,5.129317802,273.3855357,6.018057035,2.1423,41.34954
934,196.8952917,Private room,FALSE,TRUE,2,FALSE,0,1,9,87,1,1.693737654,0.3124366741,365.4182784,12.4540443,802.5081985,17.66567532,2.16783,41.37197
935,195.4988712,Private room,FALSE,TRUE,2,FALSE,1,0,9,90,1,3.34546918,0.07990064054,228.10993,7.774354322,407.9475321,8.980180714,2.14019,41.36705
936,150.5806782,Private room,FALSE,TRUE,3,FALSE,1,0,9,91,1,3.996239701,0.4721151408,205.5511807,7.005515762,351.3408439,7.734093289,2.12621,41.37274
937,131.9617381,Private room,FALSE,TRUE,2,FALSE,1,0,9,90,1,4.054123533,0.4358322998,208.4783274,7.105277644,347.8234908,7.656665523,2.12502,41.37353
938,168.9668816,Private room,FALSE,TRUE,2,FALSE,0,1,10,100,1,4.580749353,0.9075769406,157.710154,5.375016411,285.7427924,6.290078287,2.14167,41.35183
939,445.4581423,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,10,92,3,1.665282673,0.2997593821,367.78489,12.53470224,837.6661693,18.43961046,2.167,41.37231
940,111.0154304,Private room,FALSE,TRUE,2,FALSE,0,0,10,89,1,3.88331942,0.3968160283,206.0754553,7.023383886,361.3172098,7.953703807,2.12805,41.37215
941,203.6446575,Private room,FALSE,TRUE,2,FALSE,1,0,10,95,1,3.459092129,0.197255206,226.3300917,7.713694564,419.8767233,9.242778927,2.13217,41.37455
